Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Jesús Ferreira,0.02,-0.01,0.02,-0.02,-0.03,0.01,-0.02
DaMarcus Beasley,0.00,-0.01,-0.01,0.02,-0.01,0.00,-0.02
Josh Williams,0.01,0.00,-0.03,0.00,0.01,0.00,-0.02
Kevin Kratz,0.04,0.00,-0.12,0.12,-0.05,-0.01,-0.02
Bill Tuiloma,-0.01,0.01,0.00,-0.01,0.01,-0.02,-0.02
Lawrence Olum,-0.01,0.00,-0.02,0.00,0.01,0.01,-0.02
Andy Rose,0.00,0.00,-0.01,-0.02,0.00,0.01,-0.02
Deklan Wynne,-0.01,0.01,0.02,-0.01,-0.02,0.00,-0.02
Jukka Raitala,0.00,0.01,-0.02,0.00,-0.02,0.00,-0.02
Rod Fanni,0.04,0.01,-0.03,-0.02,-0.02,0.00,-0.02
Gedion Zelalem,0.01,0.00,-0.02,0.02,-0.01,-0.01,-0.02
Florentin Pogba,0.00,-0.05,0.02,0.02,-0.01,0.00,-0.02
Francis Atuahene,-0.14,-0.01,-0.05,0.00,0.09,0.09,-0.02
Nouhou Tolo,0.00,-0.03,0.05,-0.04,-0.01,0.01,-0.02
Daniel Lovitz,0.00,0.00,-0.02,0.00,-0.01,0.00,-0.02
Marvin Loría,0.03,0.02,-0.02,-0.05,-0.01,0.01,-0.02
Olivier Mbaizo,0.00,0.00,-0.01,-0.03,0.01,0.00,-0.02
Marco Fabián,0.02,0.00,0.00,-0.02,-0.03,0.00,-0.02
Harry Shipp,-0.04,0.01,0.00,0.01,-0.01,0.00,-0.02
David Accam,0.02,-0.02,-0.01,-0.01,-0.01,0.01,-0.02
Leonardo Bertone,0.00,0.01,0.01,-0.02,-0.02,0.00,-0.02
Boniek García,-0.01,0.00,0.00,-0.01,-0.01,0.00,-0.02
Alex Roldan,-0.02,0.00,0.03,0.00,-0.03,0.00,-0.02
Mason Toye,-0.03,-0.02,0.01,-0.01,0.04,-0.02,-0.02
Kai Wagner,0.01,-0.01,-0.01,0.00,-0.01,0.00,-0.02
Tesho Akindele,0.00,-0.01,-0.01,-0.05,0.04,0.00,-0.02
Ulises Segura,-0.01,-0.01,0.01,-0.01,-0.01,0.00,-0.03
Wil Trapp,0.00,-0.01,0.01,0.00,-0.02,-0.01,-0.03
Andreas Ivan,-0.06,-0.01,0.07,0.00,-0.03,0.01,-0.03
Nedum Onuoha,0.00,0.01,0.00,-0.03,-0.01,0.00,-0.03
Auston Trusty,0.01,-0.02,-0.04,0.01,0.00,0.01,-0.03
Donovan Pines,-0.02,0.00,0.01,-0.02,0.00,0.01,-0.03
Jon Erice,-0.02,0.00,-0.01,0.02,-0.02,0.00,-0.03
Nicolas Hasler,0.05,0.01,-0.05,-0.02,-0.01,0.00,-0.03
